4	万	まん	1　	数	万
4	人	にん		接尾	……名,……人
4	花	はな	2	名	花
4	草	くさ	2	名	草
4	沢山	たくさん	0,3	副	许多，很多
4	あっ	あっ	1	叹	（表示吃惊、惊讶等）啊
4	食堂	しょくどう	0	名	食堂
4	もう	もう	1	副	已经；快要
4	食事	しょくじ	0	名	用餐
4	時間	じかん	0	名	时间
5	ワイタン	ワイタン	0	专	外滩
5	無錫	むしゃく	1	专	无锡,城市名
5	国慶節	こっけいせつ	3	专	国庆节
5	天気	てんき	1	名	天气
5	それで	それで	0	接	因此，所以
5	行く	いく	3	自五	去
5	西	にし	0	名	西、西方
5	英語名	えいごめい	3	名	英语名
5	バント	bund	0	名	滨海大道
5☆	エキゾチック	exotic	4	形动	异国情调
5	古い	ふるい	2	形	旧的、老的、从前的
5☆	向こう側	むこうがわ	0	名	对面、另一侧
5	東	ひがし	3	名	东、东方
5☆	風景	ふうけい	1	名	风景
5	現代	げんだい	1	名	现代
5	文化	ぶんか	1	名	文化
5	コントラスト	contrast	1,4	名	对比，对照
5	なかなか	なかなか	0	副	很、相当
5	こんにちは	こんにちは	0	寒暄语	你好
5	お元気ですか	おげんきですか	2	寒暄语	你好吗？
5	おかげさまでげんきです	　	　	寒暄语	谢谢，我很好
5☆	初めて	はじめて	2	副	初次
5	家	うち	2	名	家
5	良い	いい	1	形动	好的
5	中	なか	0	名	中心
5	凄い	すごい	2	形动	很甚的，好得很的
5☆	人出	ひとで	0	名	外出的人群
5☆	観光客	かんこうきゃく	3	名	游客
5	大勢	おおぜい	3	名	很多人
5	銀行	ぎんこう	0	名	银行
5	塔	とう	1	名	塔
5	東方名珠	とうほうめいじゅ	5	专	东方明珠
5	テレビ塔	テレビとう	0	名	电视塔
5☆	シンボル	symbol	1	名	象征
5	どのぐらい	どのぐらい	0,1	组	多少
5	メートル	meter	0	名	公尺、米
5	近く	ちかく	2	名	附近
5☆	ビル	building	1	名	大楼、大厦
5☆	センター	center	1	名	中心、中央
6	生活	せいかつ	0	名	生活
6☆	毎朝	まいあさ	1	名	每天早晨
6	起きる	おきる	2	自一	起床
6	よく	よく	1	副	经常，很好地
6	運動場	うんどうじょう	0	名	运动场
6	バスケットボール	basketball	6	名	篮球
6	ラジオ体操	ラジオたいそう	4　	名	广播体操
6	する	する	4	他サ	做，干，办
6	それから	それから	0	接	然后，其次
6	……語	……ご	0	接尾	…语
6	朗読	ろうどく	0	名，他サ	朗读
6	半	はん	　	接尾	…半
6	ごろ	ごろ	　	接尾	（时间的）左右
6	朝ご飯	あさごはん	3	名	早饭
6	食べる	たべる	2	他一	吃
6	うどん	うどん	0	名	面条，切面
6	肉まんじゅう	にくまんじゅう	3	名	肉包子
6	彼	かれ	1	代	他
6	あまり	あまり	0	副	（下接否定）（不）怎样，（不）很
6	パン	pao 葡	1	名	面包
6	そして	そして	0	接	而且
6	自転車	じてんしゃ	2	名	自行车
6	毎晩	まいばん	1	名	每晚
6	勉強	べんきょう	0	名，他サ	学习
6	帰る	かえる	1	自五	回家，回去
6	掛かる	かかる	2	自五	需要，花费
6☆	寝る	ねる	0	自一	睡，就寝
6	しかし	しかし	4	接	可是，但是
6	忙しい	いそがしい	2	形	忙的
6	大変	たいへん	0	副	非常
6	楽しい	たのしい	3	形	愉快，高兴的
6	木村	きむら	0	专	木村（姓氏）
6	おはようございます	おはようございます	　	寒暄语	早上好
6	来る	くる	1	自カ	来
6	何時	なんじ	1	名	几点
6	洗面所	せんめんじょ	0	名	化妆室，厕所
6	歯	は	1	名	牙齿
6	磨く	みがく	0	他五	擦，刷
6	洗う	あらう	0	他五	洗
6	どんな	どんな	1	连体	如何，怎样
6	運動	うんどう	0	名，自サ	运动
6☆	バドミントン	badminton	3	名	羽毛球
6	テニス	tennis	1	名	网球
6	午前	ごぜん	1,0	名	上午
6	体育	たいいく	1,0	名	体育
6	週	しゅう	1	名	星期
6	何時間	なんじかん	3	名	几个钟头，几小时
6	一日	いちにち	0	名	一天，一日，一昼夜
6	始まる	はじまる	0	自五	开始
6	終わる	おわる	0	自五	结束
6	放送	ほうそう	0	名,他サ	广播
6	時々	ときどき	0	副	有时，时时，经常
6	看る	みる	1	他一	看
6☆	新聞	しんぶん	0	名	报纸
6	読む	よむ	1	他五	念，朗读
6	日系企業	にっけいきぎょう	5	名	日企
6	会社員	かいしゃいん	1	名	公司职员
6	毎日	まいにち	1	名	每天
6	出掛ける	でかける	0	自一	外出、出门
6☆	市内	しない	1	名	市内
6	会社	かいしゃ	1	名	公司
6☆	郊外	こうがい	1	名	郊外、郊区
6	歩く	あるく	2	自五	走、步行
6	電車	でんしゃ	1,0	名	电气列车
6	込む	こむ	1	自五	拥挤
6	残業	ざんぎょう	0	名	加班
6	又	また	0	副	又、再、也
